Componente,Navegador,VersionNav,Error,SO,Descripcion,
iron-image,Safari,Safari 9,Don't break WebP Polyfill,NE,"WebP is a great image format but only Chrome natively supports it. A Javascript polyfill exists but (I believe) due to iron-image not populating the img element's src tag, the polyfill doesn't work.",
iron-image,Safari,Safari,Safari Error when dynamic src ends up being null,NE,Seems safari blows up when the src for the iron-image is null.,
iron-list,Chrome,Chrome,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,Firefox,Firefox,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,Safari,Safari 7,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,Safari,Safari 8,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,Safari,Safari 9,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,Edge,Edge,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,IE,IE 11,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,IE,IE 10,Array list blurs controls outside of the list,NE,"Create some logic outside iron-list element that will affect iron list items list (filter for example). If this logic remove first list item, list will blur current document's active element.",
iron-list,Chrome,Chrome,Lots of Physical Items generated/No Way to Cap Physical Items,NE,"the code now appears to constantly call ""_increasePoolIfNeeded"" when you are scrolling fast which leads to mass generation of DOM nodes and browser locking up.",
iron-list,Chrome,Chrome,removeItem blurs wrong item.,NE,In the source code the activeElement is blurred but that does not have to be the item that is removed.,
iron-list,Chrome,Chrome,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,Firefox,Firefox,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,Safari,Safari 7,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,Safari,Safari 8,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,Safari,Safari 9,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,Edge,Edge,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,IE,IE 10,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,IE,IE 11,Distributed children with named slot doesn't work,NE,"The items get distributed to the default slot of parent-el. That is, when iron-list templatizes and stamps the distributed template (which is distributed via a named slot in to parent-el and a default slot to child-el) it adds it to the dom as a child of the template's parent. In this case, end-user-el. Because the div element of the template does not have a slot attribute, it is distributed to the default slot of parent-el. It should be distributed to the ""test"" slot of parent-el, which then in turns distributes it to the default slot of child-el, and so on to iron-list.",
iron-list,Chrome,Chrome 58,List items in grid mode are jumping and get duplicated while viewing,OSX 10.10,List items in grid mode are jumping and get duplicated while viewing,
iron-list,Chrome,Mobile Chrome 58,List items in grid mode are jumping and get duplicated while viewing,Android 4.3,List items in grid mode are jumping and get duplicated while viewing,
iron-list,Chrome,Chrome,List will not refresh when nested inside other element,NE,when i use an iron-list inside another customelement the list does not refresh when i change the items. ( completely replace the array for another array ),
iron-list,Chrome,Chrome,Exception Thrown,NE,Exception Thrown,
iron-list,Chrome,Chrome,Filtering and selecting preserves actions taken on unrelated elements,NE,"The iron-list element is incorrectly binding actions across elements, on what appear to be indices. When filtering the list of elements in an iron-list, the actions perform on the filtered list are bound to the indices. When the filter is removed, the actions performed are then incorrectly reflected on the unfiltered list indices.",
iron-list,Firefox,Firefox,Filtering and selecting preserves actions taken on unrelated elements,NE,"The iron-list element is incorrectly binding actions across elements, on what appear to be indices. When filtering the list of elements in an iron-list, the actions perform on the filtered list are bound to the indices. When the filter is removed, the actions performed are then incorrectly reflected on the unfiltered list indices.",
iron-list,Chrome,Chrome,Select processing of large groups of selects takes too long,NE,Selecting 5000 items at a time causes a ~10s block on the main thread.,
iron-list,Firefox,Firefox,Select processing of large groups of selects takes too long,NE,Selecting 5000 items at a time causes a ~10s block on the main thread.,
iron-list,Safari,Safari,Select processing of large groups of selects takes too long,NE,Selecting 5000 items at a time causes a ~10s block on the main thread.,
iron-list,Edge,Edge,Select processing of large groups of selects takes too long,NE,Selecting 5000 items at a time causes a ~10s block on the main thread.,
iron-list,IE,IE,Select processing of large groups of selects takes too long,NE,Selecting 5000 items at a time causes a ~10s block on the main thread.,
iron-list,Chrome,Chrome,Blurry text possible with zoomed UI,NE,"iron-list appears to use a translate to position rows. Chrome allows for zooming the UI. At some zoom values, iron-list rows can appear blurry.",
iron-list,Chrome,Chrome,Prepending the backing list does not maintain scroll position,NE,"When Items are prepended to an iron-lists backing array the scroll position is not maintained and the users view is automatically scrolled. For example, when viewing 100th item in a list and the system prepends 50 items to the list the 100th item will be forced off the screen.",
iron-list,Safari,Safari 9,Prepending the backing list does not maintain scroll position,NE,"When Items are prepended to an iron-lists backing array the scroll position is not maintained and the users view is automatically scrolled. For example, when viewing 100th item in a list and the system prepends 50 items to the list the 100th item will be forced off the screen.",
iron-list,Chrome,Chrome 54.0.2840.87 m,"iron-list gives error when the objects have a field named ""children"" in them. ",Windows 10,"iron-list element gives an error when the list of objects passed to it has the field ""children"" in the objects. It gives an ""Illegal Invocation"" exception.",
iron-list,Firefox,Firefox,"iron-list gives error when the objects have a field named ""children"" in them. ",Windows 10,"iron-list element gives an error when the list of objects passed to it has the field ""children"" in the objects. It gives an ""Illegal Invocation"" exception.",
iron-list,Edge,Edge,"iron-list gives error when the objects have a field named ""children"" in them. ",Windows 10,"iron-list element gives an error when the list of objects passed to it has the field ""children"" in the objects. It gives an ""Illegal Invocation"" exception.",
iron-list,Chrome,Chrome,The focus back buffer breaks even and odd coloring of items ,NE,"This FocusBackfillItem function leads to problems with styles for nth-child(even/odd) as it is in the same dom node as all other items, but it is not visible. So you form group of 2 items with the same styling, which should not happen with even/ odd.",
iron-list,Firefox,Firefox,The focus back buffer breaks even and odd coloring of items ,NE,"This FocusBackfillItem function leads to problems with styles for nth-child(even/odd) as it is in the same dom node as all other items, but it is not visible. So you form group of 2 items with the same styling, which should not happen with even/ odd.",
iron-list,Chrome,Chrome,Allow users to specify manual heights of items for performance purposes,NE,"Sometimes frames are super long. On bad Windows laptops we've seen ~250ms frames. With a bunch of text being ellided, or a box shadow being clipped (complex UI), we've seen a ton of style recalcs on measuring items via offsetHeight.",
iron-list,Chrome,Chrome v52,iron-list not maintaining bindings in items array,NE,iron-list not maintaining bindings in items array,
iron-list,Chrome,Chrome v45.3,iron-list not maintaining bindings in items array,NE,iron-list not maintaining bindings in items array,
iron-list,Chrome,Chrome,Missing margin-bottom on large lists with responsive layouts.,NE,"In an responsive layout with % item width and fixed item aspect ratios heights will have subpixel. The _rowHeight is measured with offsetHeight, which does not consider subpixel. This leads to an wrong _estScrollHeight, and the missing of the margin-bottom.",
iron-list,Chrome,Chrome,iron-list doesn't restore template when element gets recycled,NE,use iron-swipeable-container in an iron-list. Swiping an item removes the DOM node within the iron-list entry. Setting afterwards new data fails to restore the deleted DOM node. Data isn't visible (since the entry in the list doesn't have any longer the DOM node to show the data).,
iron-list,Firefox,Firefox,iron-list doesn't restore template when element gets recycled,NE,use iron-swipeable-container in an iron-list. Swiping an item removes the DOM node within the iron-list entry. Setting afterwards new data fails to restore the deleted DOM node. Data isn't visible (since the entry in the list doesn't have any longer the DOM node to show the data).,
iron-list,Safari,Safari 9,iron-list doesn't restore template when element gets recycled,NE,use iron-swipeable-container in an iron-list. Swiping an item removes the DOM node within the iron-list entry. Setting afterwards new data fails to restore the deleted DOM node. Data isn't visible (since the entry in the list doesn't have any longer the DOM node to show the data).,
iron-list,Safari,Safari 9,iron-list always jumps to the focused element when changing browser tabs.,NE,iron-list always jumps to the focused element when switching away from the browser tab with the iron-list and then back again. List always jumps back to the focused element. This happens in both Safari and Chrome.,
iron-list,Chrome,Chrome,iron-list always jumps to the focused element when changing browser tabs.,NE,iron-list always jumps to the focused element when switching away from the browser tab with the iron-list and then back again. List always jumps back to the focused element. This happens in both Safari and Chrome.,
iron-list,Chrome,Chrome,Properties of elements inside the list not reseted when element gets recycled,NE,Properties of elements inside the list not reseted when element gets recycled,
iron-list,Firefox,Firefox,Properties of elements inside the list not reseted when element gets recycled,NE,Properties of elements inside the list not reseted when element gets recycled,
iron-list,Safari,Safari 9,Properties of elements inside the list not reseted when element gets recycled,NE,Properties of elements inside the list not reseted when element gets recycled,
iron-list,Chrome,Chrome,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,Safari,Safari 7,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,Safari,Safari 8,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,Safari,Safari 9,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,Firefox,Firefox,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,IE,IE 10,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,IE,IE 11,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,Edge,Edge,Properties of elements inside the list not reseted when element gets recycled,NE,"I am currently trying to implement a grid, but with sub-headings and I am not able to do it using a single iron-list. It would be great if there was some kind of way to define a sub-heading inside a grid or a list. I did not find a way to do so",
iron-list,Chrome,Chrome,Large spaces between list items while loading when switching from grid to list view.,NE,"Large spaces between items when switching from grid to list view on initial render, mostly when there are 100+ items in the list",
iron-list,Chrome,Android Chrome,Large spaces between list items while loading when switching from grid to list view.,NE,"Large spaces between items when switching from grid to list view on initial render, mostly when there are 100+ items in the list",
iron-list,Safari,Safari 9,Large spaces between list items while loading when switching from grid to list view.,NE,"Large spaces between items when switching from grid to list view on initial render, mostly when there are 100+ items in the list",
iron-list,Safari,Ipad Safari,Large spaces between list items while loading when switching from grid to list view.,NE,"Large spaces between items when switching from grid to list view on initial render, mostly when there are 100+ items in the list",
iron-list,Chrome,Chrome,List items overflow content hidden beneath lower items,NE,"If an iron-list of items with overflow content (eg. dropdown menus) is used, an item's overflowing content will be hidden by the following item, as the lower item will have a higher stacking level.",
iron-list,Firefox,Firefox,List items overflow content hidden beneath lower items,NE,"If an iron-list of items with overflow content (eg. dropdown menus) is used, an item's overflowing content will be hidden by the following item, as the lower item will have a higher stacking level.",
iron-list,Edge,Edge,List items overflow content hidden beneath lower items,NE,"If an iron-list of items with overflow content (eg. dropdown menus) is used, an item's overflowing content will be hidden by the following item, as the lower item will have a higher stacking level.",
iron-list,Chrome,Chrome,Strange focusing and collapse Issues,NE,iron-list focusing and collapsing behaves strangely. It's rather difficult to explain what's going on so I'll just list the steps to reproduce.,
iron-list,IE,IE 11,v 1.2.8 - missing list items when more than one iron-list instances are on page,NE,version 1.2.8 displays only few first items in second and consecutive instances on a page,
iron-list,Firefox,Firefox 45.0.1,v 1.2.8 - missing list items when more than one iron-list instances are on page,NE,version 1.2.8 displays only few first items in second and consecutive instances on a page,
iron-list,Chrome,Chrome 45.0.2454.101,Setting display property of element prevents hiding of element,NE,Setting display property of element prevents hiding of element,
iron-location,Chrome,Chrome,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,Firefox,Firefox,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,Safari,Safari 7,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,Safari,Safari 8,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,Safari,Safari 9,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,Edge,Edge,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,IE,IE 11,Query Parameters which have zero as value are being ignored,NE,The query parameters which have zero as value are being ignored in iron-query-params,
iron-location,Chrome,Chrome,could not change property and url,NE,could not change property and url,
iron-location,Chrome,Chrome,Iron-location prevents native hash navigation,NE,"Hashes can be used to point to a section with the corresponding id. E.g. if you go to mydomain.com#foo and there is a <section id=""foo""> then the browser automatically scrolls to that section. Changing the hash does not let the browser scroll to the corresponding section",
iron-location,Firefox,Firefox,Iron-location prevents native hash navigation,NE,"Hashes can be used to point to a section with the corresponding id. E.g. if you go to mydomain.com#foo and there is a <section id=""foo""> then the browser automatically scrolls to that section. Changing the hash does not let the browser scroll to the corresponding section",
iron-location,Chrome,Chrome,seems like not working with data-property of app-route,NE,"We used iron-location to get query parameters from url. If we also change the data property of app-route, the url will not be changed in address bar.",
iron-location,Safari,Safari 7,hashchange event is inconsistent on IE11,NE,iron-location's handling of history api seems to be causing IE11 to not fire hashchange events in some edge-case scenarios. I'm able to reproduce whenever the site uses anchor tags for some navigation and javascript for some other navigation.,
iron-location,Edge,Edge,hashchange event is inconsistent on IE12,NE,iron-location's handling of history api seems to be causing IE11 to not fire hashchange events in some edge-case scenarios. I'm able to reproduce whenever the site uses anchor tags for some navigation and javascript for some other navigation.,
iron-location,IE,IE 11,hashchange event is inconsistent on IE13,NE,iron-location's handling of history api seems to be causing IE11 to not fire hashchange events in some edge-case scenarios. I'm able to reproduce whenever the site uses anchor tags for some navigation and javascript for some other navigation.,
iron-location,Chrome,Chrome 51.0.2699.0 dev,history.pushState not available in packaged apps,NE,history.pushState not available in packaged apps,
iron-media-query,Chrome,Chrome,Not working in Chrome's device mode,NE,true regardless of width when calling the queryMatches property (this.$.mq.queryMatches). undefined when binding to the query-matches matches property (this.query),
iron-overlay-behavior,Firefox,Firefox,"Firefox: Visual glitches are triggered by the scrolling attempt, when the overlays that lock scrolling position are opened.",NE,"Firefox: Visual glitches are triggered by the scrolling attempt, when the overlays that lock scrolling position are opened.",
iron-overlay-behavior,Chrome,Chrome,Embedded modal dialogs hide behind the overlay,NE,"Since 2.3.1 (I'd guess this pull request: #252 ), I cannot open two embedded paper-dialogs any more. Before (2.2.1), both dialogs were placed in front of the overlay. This was not optimal, but could be used.",
iron-overlay-behavior,Firefox,Firefox,Embedded modal dialogs hide behind the overlay,NE,"Since 2.3.1 (I'd guess this pull request: #252 ), I cannot open two embedded paper-dialogs any more. Before (2.2.1), both dialogs were placed in front of the overlay. This was not optimal, but could be used.",
iron-overlay-behavior,Edge,Edge,Embedded modal dialogs hide behind the overlay,NE,"Since 2.3.1 (I'd guess this pull request: #252 ), I cannot open two embedded paper-dialogs any more. Before (2.2.1), both dialogs were placed in front of the overlay. This was not optimal, but could be used.",
iron-overlay-behavior,IE,IE 11,Embedded modal dialogs hide behind the overlay,NE,"Since 2.3.1 (I'd guess this pull request: #252 ), I cannot open two embedded paper-dialogs any more. Before (2.2.1), both dialogs were placed in front of the overlay. This was not optimal, but could be used.",
iron-overlay-behavior,Chrome,Chrome,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,Firefox,Firefox,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,Safari,Safari 7,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,Safari,Safari 8,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,Safari,Safari 9,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,Edge,Edge,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,IE,IE 11,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,IE,IE 10,iron-overlay-backdrop should append to fitInto element if specified,NE,iron-overlay-backdrop should append to the fitInto element if specified. iron-overlay-backdrop is always appended to the body.,
iron-overlay-behavior,Chrome,Chrome,Loses focus on emulated device mode and mobile devices,NE,"When restore-focus-on-close is set, the restoreFocusNode loses focus when overlay closes on emulated device mode on Chrome and mobile devices. However, on desktop, restoreFocusNode focuses and can be seen with focus ring when overlay closes.",
iron-overlay-behavior,Chrome,Chrome,iron-overlay-backdrop failing in FullScreen mode set with Element.requestFullscreen(),NE,"When browser is set to full screen mode by JavaScript code using Element.requestFullscreen(), iron-overlay-behavior incorrectly calculates z-index value for <iron-overlay-backdrop>",
iron-overlay-behavior,Firefox,Firefox,iron-overlay-backdrop failing in FullScreen mode set with Element.requestFullscreen(),NE,"When browser is set to full screen mode by JavaScript code using Element.requestFullscreen(), iron-overlay-behavior incorrectly calculates z-index value for <iron-overlay-backdrop>",
iron-overlay-behavior,IE,IE 11,iron-overlay-backdrop failing in FullScreen mode set with Element.requestFullscreen(),NE,"When browser is set to full screen mode by JavaScript code using Element.requestFullscreen(), iron-overlay-behavior incorrectly calculates z-index value for <iron-overlay-backdrop>",
iron-pages,Edge,Edge,MS Edge error,NE,"In MS Edge I get this error: ""Unable to get property '__catchall' of undefined or null reference attach-shadow.js (188,5)",
iron-pages,Chrome,Chrome,Changing visible pages dynamically through the selectable attribute doesn't work,NE,Changing visible pages dynamically through the selectable attribute doesn't work,
iron-pages,Firefox,Firefox,Changing visible pages dynamically through the selectable attribute doesn't work,NE,Changing visible pages dynamically through the selectable attribute doesn't work,
iron-pages,Chrome,Chrome,selectedItem isn't set when rendered in the background,NE,Some attributes aren't set correctly when iron-pages is rendered in the background.,
iron-swipeable-container,Chrome,Chrome,Swipe two container generate only one on-swipe event (2 expected),NE,"Swiping 2 iron-swipeable-container element in the same action throw only 1 iron-swipe event. Two container are destroy and only one event are throwed. In consequence, it is not possible to remove the second wiped container from an array",
iron-swipeable-container,Chrome,Chrome,Can't scroll vertically when finger on swipe card.,Android (Nexus 6),Can't scroll vertically when finger on swipe card.,
iron-test-helpers,Chrome,Chrome,MockInteractions.track passes incorrect delta values,NE,"When using MockInteractions.track, the track events that get fired contains wrong values for dx and dy.",
iron-test-helpers,Firefox,Firefox,MockInteractions.track passes incorrect delta values,NE,"When using MockInteractions.track, the track events that get fired contains wrong values for dx and dy.",
iron-test-helpers,Edge,Edge,MockInteractions.track passes incorrect delta values,NE,"When using MockInteractions.track, the track events that get fired contains wrong values for dx and dy.",
iron-test-helpers,IE,IE,MockInteractions.track passes incorrect delta values,NE,"When using MockInteractions.track, the track events that get fired contains wrong values for dx and dy.",
iron-test-helpers,Safari,Safari,MockInteractions.track passes incorrect delta values,NE,"When using MockInteractions.track, the track events that get fired contains wrong values for dx and dy.",
iron-menu-behavior,Chrome,Chrome,Feature Request: Opt out of focus() on _focusedItemChanged,NE,"Currently, calling paper-listbox.select(n); causes the referenced list item to receive focus. This is problematic when users are typing with IME because stealing focus from the input that triggers the OS-level IME popup causes that popup to disappear.",
iron-menu-behavior,Firefox,Firefox,Feature Request: Opt out of focus() on _focusedItemChanged,NE,"Currently, calling paper-listbox.select(n); causes the referenced list item to receive focus. This is problematic when users are typing with IME because stealing focus from the input that triggers the OS-level IME popup causes that popup to disappear.",
iron-menu-behavior,Chrome,Chrome,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,Firefox,Firefox,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,Safari,Safari 7,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,Safari,Safari 8,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,Safari,Safari 9,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,Edge,Edge,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,IE,IE 10,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,IE,IE 11,The selectable property doesn't work well,NE,"If the selectable children isn't in the root, it doesn't work.",
iron-menu-behavior,Chrome,Chrome,A11y-NVDA When moving focus across tabs always calls out tab as selected,NE,NVDA accesability tool announces each paper-tab that is given a focus that it is the selected tab.,
iron-menu-behavior,Firefox,Firefox,A11y-NVDA When moving focus across tabs always calls out tab as selected,NE,NVDA accesability tool announces each paper-tab that is given a focus that it is the selected tab.,
iron-resizable-behavior,Chrome,Chrome,Parent resizable fails to receive resize notification when under shadow DOM.,NE,Parent resizables fail to receive resize notification when under shadow DOM.,
iron-scroll-threshold,Chrome,Chrome,Adding fullbleed attribute to app-header-layout messes the iron-scroll-threshold in Chrome,NE,"Taking the ""Load data using iron-scroll-threshold"" demo from the iron-list element as a starting point, if you wrap the content with an app-header-layout element that has the fullbleed attribute, the lower threshold is triggered every time you scroll in Chrome.",
iron-input,IE,IE 11,Arrow key operations for number type not working in IE11,NE,Arrow keys does not work (to increment/decrement number type) for iron-input in IE11,
iron-input,IE,IE 11,"type=""number"" prevent text input",NE,"The iron-input does prevent the user to enter text into the <iron-input> when type=""number.",
iron-input,Firefox,"Firefox 56,0,2","type=""number"" prevent text input",NE,"The iron-input does prevent the user to enter text into the <iron-input> when type=""number.",
iron-input,Edge,Edge,"type=""number"" prevent text input",NE,"The iron-input does prevent the user to enter text into the <iron-input> when type=""number.",
iron-input,Chrome,Chrome,iron-input is not working with Polymer 1.9.x and paper-input 2.0.x,NE,"Tabulators are not working. User need to press tab twice to focus to next input (tested on paper-input, but i think all other elements using iron-input will have this problem)",
iron-input,Chrome,Chrome,Iron Input allows pasting of invalid text after space,NE,ron-Input element allows pasting of invalid characters if you press spacebar before pasting.,
iron-label,Chrome,Chrome,Cannot read property '_labelNumber' of undefined,NE,The element throws an error when you don't give it an ID I thought it might be a shadow/shady dom thing but the issue persists even when forcing shady. Uncaught TypeError: Cannot read property '_labelNumber' of undefined,
